Date,Alberta,British Columbia,Manitoba,New Brunswick,Newfoundland and Labrador,Northwest Territories,Nova Scotia,Nunavut,Ontario,Prince Edward Island,Quebec,Repatriated Travellers,Saskatchewan,Yukon
1/22/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/23/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/24/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/25/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/26/20,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1/27/20,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1/28/20,0,1,0,0,0,0,0,0,1,0,0,0,0,0
1/29/20,0,1,0,0,0,0,0,0,1,0,0,0,0,0
1/30/20,0,1,0,0,0,0,0,0,1,0,0,0,0,0
1/31/20,0,1,0,0,0,0,0,0,3,0,0,0,0,0
2/1/20,0,1,0,0,0,0,0,0,3,0,0,0,0,0
2/2/20,0,1,0,0,0,0,0,0,3,0,0,0,0,0
2/3/20,0,1,0,0,0,0,0,0,3,0,0,0,0,0
2/4/20,0,1,0,0,0,0,0,0,3,0,0,0,0,0
2/5/20,0,2,0,0,0,0,0,0,3,0,0,0,0,0
2/6/20,0,2,0,0,0,0,0,0,3,0,0,0,0,0
2/7/20,0,4,0,0,0,0,0,0,3,0,0,0,0,0
2/8/20,0,4,0,0,0,0,0,0,3,0,0,0,0,0
2/9/20,0,4,0,0,0,0,0,0,3,0,0,0,0,0
2/10/20,0,4,0,0,0,0,0,0,3,0,0,0,0,0
2/11/20,0,4,0,0,0,0,0,0,3,0,0,0,0,0
2/12/20,0,4,0,0,0,0,0,0,3,0,0,0,0,0
2/13/20,0,4,0,0,0,0,0,0,3,0,0,0,0,0
2/14/20,0,4,0,0,0,0,0,0,3,0,0,0,0,0
2/15/20,0,4,0,0,0,0,0,0,3,0,0,0,0,0
2/16/20,0,4,0,0,0,0,0,0,3,0,0,0,0,0
2/17/20,0,5,0,0,0,0,0,0,3,0,0,0,0,0
2/18/20,0,5,0,0,0,0,0,0,3,0,0,0,0,0
2/19/20,0,5,0,0,0,0,0,0,3,0,0,0,0,0
2/20/20,0,5,0,0,0,0,0,0,3,0,0,0,0,0
2/21/20,0,6,0,0,0,0,0,0,3,0,0,0,0,0
2/22/20,0,6,0,0,0,0,0,0,3,0,0,0,0,0
2/23/20,0,6,0,0,0,0,0,0,3,0,0,0,0,0
2/24/20,0,6,0,0,0,0,0,0,4,0,0,0,0,0
2/25/20,0,7,0,0,0,0,0,0,4,0,0,0,0,0
2/26/20,0,7,0,0,0,0,0,0,4,0,0,0,0,0
2/27/20,0,7,0,0,0,0,0,0,6,0,0,0,0,0
2/28/20,0,7,0,0,0,0,0,0,6,0,1,0,0,0
2/29/20,0,8,0,0,0,0,0,0,11,0,1,0,0,0
3/1/20,0,8,0,0,0,0,0,0,15,0,1,0,0,0
3/2/20,0,8,0,0,0,0,0,0,18,0,1,0,0,0
3/3/20,0,9,0,0,0,0,0,0,20,0,1,0,0,0
3/4/20,0,12,0,0,0,0,0,0,20,0,1,0,0,0
3/5/20,0,13,0,0,0,0,0,0,22,0,2,0,0,0
3/6/20,1,21,0,0,0,0,0,0,25,0,2,0,0,0
3/7/20,2,21,0,0,0,0,0,0,28,0,3,0,0,0
3/8/20,4,27,0,0,0,0,0,0,29,0,4,0,0,0
3/9/20,7,32,0,0,0,0,0,0,34,0,4,0,0,0
3/10/20,7,32,0,0,0,0,0,0,36,0,4,0,0,0
3/11/20,19,39,0,1,0,0,0,0,41,0,8,0,0,0
3/12/20,19,46,0,1,0,0,0,0,42,0,9,0,0,0
3/13/20,29,64,4,1,0,0,0,0,74,0,17,0,2,0
3/14/20,29,64,4,1,0,0,0,0,79,0,17,0,2,0
3/15/20,39,73,4,2,1,0,0,0,104,1,24,0,2,0
3/16/20,56,103,7,6,1,0,5,0,177,1,50,0,7,0
3/17/20,74,103,8,8,3,0,7,0,185,1,74,0,7,0
3/18/20,97,186,15,11,3,0,12,0,221,1,94,0,8,0
3/19/20,119,231,17,11,3,0,14,0,257,2,121,0,16,0
3/20/20,146,271,17,11,4,0,15,0,308,2,139,0,20,0
3/21/20,195,424,18,17,6,0,21,0,377,2,181,0,26,0
3/22/20,259,424,20,17,9,0,28,0,425,3,219,0,52,0
3/23/20,301,472,20,17,24,0,41,0,503,3,628,0,66,0
3/24/20,359,617,21,18,35,0,51,0,588,3,1013,0,72,0
3/25/20,358,617,35,18,35,0,68,0,688,5,1342,0,72,0
